"X1","Center_start","Center_stop","Left_start","Left_stop","Contact_Left_start","Contact_Left_stop","Right_start","Right_stop","Contact_Right_start","Contact_Right_stop","Unknown_start","Unknown_stop"
1,0,8.9,8.9,25.4,25.4,26.467,1553.5,1553.667,1563.5,1563.6,9386.366,9386.766
2,398.967,405.734,26.467,26.534,26.534,26.6,1553.834,1557.634,1565.1,1565.5,NA,NA
3,406.234,428.334,26.6,26.734,26.734,27.334,1559.134,1563.5,1565.667,1584.634,NA,NA
4,1534.934,1553.5,27.334,27.367,27.367,28.1,1563.6,1565.1,1588.734,1589.234,NA,NA
5,1553.667,1553.834,28.1,28.134,28.134,28.167,1565.5,1565.667,1589.267,1610.634,NA,NA
6,1557.634,1559.134,28.167,28.934,28.934,28.967,1584.634,1588.734,1610.834,1614.834,NA,NA
7,1633.8,1636.034,28.967,29.034,29.034,29.067,1589.234,1589.267,1615.034,1621.3,NA,NA
8,1729.734,1730.867,29.067,29.267,29.267,29.467,1610.634,1610.834,1644.734,1645.434,NA,NA
9,1769.2,1774.634,29.467,29.5,29.5,30,1614.834,1615.034,1646.734,1651.434,NA,NA
10,1819.6,1835,30,30.3,30.3,31.867,1621.3,1633.8,1652.334,1652.367,NA,NA
11,1841.1,1862.934,31.867,31.934,31.934,32.134,1636.034,1644.734,1652.834,1726.467,NA,NA
12,1878.467,1885.367,32.134,32.267,32.267,32.3,1645.434,1646.734,1782.467,1782.867,NA,NA
13,2001.034,2008.134,32.3,32.367,32.367,32.534,1651.434,1652.334,1782.934,1784.4,NA,NA
14,2008.3,2008.4,32.534,32.567,32.567,32.6,1652.367,1652.834,1784.534,1784.9,NA,NA
15,2039.8,2049.934,32.6,32.834,32.834,32.967,1726.467,1729.734,1784.967,1794.7,NA,NA
16,2099.634,2124.367,32.967,33.567,33.567,33.6,1774.634,1782.467,1810.1,1811.767,NA,NA
17,2158.167,2179.267,33.6,34,34,34.034,1782.867,1782.934,1811.8,1812.167,NA,NA
18,2245.834,2303.4,34.034,34.734,34.734,34.9,1784.4,1784.534,1835.3,1841.1,NA,NA
19,2304.434,2305.034,34.9,34.934,34.934,36.734,1784.9,1784.967,1886.1,1886.867,NA,NA
20,2305.734,2323.367,36.734,36.8,36.8,36.9,1794.7,1810.1,1894.134,1894.167,NA,NA
21,2361.534,2363.534,36.9,36.967,36.967,37.334,1811.767,1811.8,1894.2,1894.8,NA,NA
22,2379.134,2385.234,37.334,37.367,37.367,37.5,1812.167,1819.6,1895.234,1895.367,NA,NA
23,2432.134,2462.567,37.5,37.534,37.534,37.567,1835,1835.3,1895.434,1895.5,NA,NA
24,2573.934,2575.434,37.567,37.934,37.934,39.467,1885.367,1886.1,1895.7,1896.034,NA,NA
25,2720.167,2729.5,39.467,39.567,39.567,40.967,1886.867,1894.134,1935.634,1935.734,NA,NA
26,3283.934,3296.067,40.967,41.867,41.867,43.367,1894.167,1894.2,1935.967,1945.167,NA,NA
27,3338,3388,43.367,43.4,43.4,43.534,1894.8,1895.234,1945.267,1947.567,NA,NA
28,3388.034,3388.067,43.534,43.6,43.6,44.634,1895.367,1895.434,1958.467,1972.234,NA,NA
29,3388.1,3388.367,44.634,45.467,45.467,45.5,1895.5,1895.7,1972.367,1972.867,NA,NA
30,3463.734,3539.2,45.5,46.034,46.034,49.234,1896.034,1935.634,2124.767,2129.3,NA,NA
31,3544.9,3571.734,49.234,50.134,50.134,50.267,1935.734,1935.967,2129.334,2129.567,NA,NA
32,3673.934,3699.967,50.267,50.334,50.334,51.567,1945.167,1945.267,2129.667,2138.767,NA,NA
33,3729.2,3834.2,51.567,51.667,51.667,61.7,1947.567,1958.467,2138.867,2141.367,NA,NA
34,3880.767,3883.534,61.7,61.934,61.934,62.867,1972.234,1972.367,2141.4,2142.4,NA,NA
35,4219.6,4220.967,62.867,63.834,63.834,63.967,1972.867,2001.034,2143.467,2152.4,NA,NA
36,4243.7,4272.167,63.967,64.034,64.034,74.067,2049.934,2099.634,2385.4,2405.9,NA,NA
37,4366.567,4391.567,74.067,74.134,74.134,74.434,2124.367,2124.767,2406.9,2409,NA,NA
38,4440.034,4444.534,74.434,74.467,74.467,75.1,2129.3,2129.334,2410.767,2411.034,NA,NA
39,4445,4445.067,75.1,77.567,77.567,77.9,2129.567,2129.667,2411.734,2412.734,NA,NA
40,4445.334,4445.367,77.9,85.6,85.6,88.2,2138.767,2138.867,2422.4,2426.6,NA,NA
41,4445.5,4445.534,88.2,88.7,88.7,88.734,2141.367,2141.4,2575.634,2575.7,NA,NA
42,4455.434,4458.167,88.734,88.767,88.767,88.834,2142.4,2143.467,2575.834,2577.467,NA,NA
43,4489.567,4494.634,88.834,88.867,88.867,89.534,2152.4,2158.167,2587.467,2587.8,NA,NA
44,4542.567,4558.4,89.534,89.567,89.567,90.034,2323.367,2361.534,2587.967,2643.634,NA,NA
45,4563.3,4567.5,90.034,90.1,90.1,90.267,2385.234,2385.4,2643.667,2644.1,NA,NA
46,4570.3,4610.1,90.267,90.3,90.3,91.367,2405.9,2406.9,2644.667,2644.8,NA,NA
47,4738.467,4744.867,91.367,91.4,91.4,92.967,2409,2410.767,3296.434,3300.9,NA,NA
48,4776.367,4783.1,92.967,93,93,93.034,2411.034,2411.734,3305.867,3306.5,NA,NA
49,4809.434,4813.367,93.034,93.7,93.7,100.167,2412.734,2422.4,3306.6,3306.7,NA,NA
50,4884.934,4909.9,100.167,100.4,100.4,100.5,2426.6,2432.134,3307.634,3336,NA,NA
51,4960.1,4961.834,100.5,100.6,100.6,101.4,2575.434,2575.634,3336.9,3337.467,NA,NA
52,5013.934,5023.6,101.4,101.534,101.534,103.9,2575.7,2575.834,3539.234,3539.734,NA,NA
53,5023.767,5024,103.9,103.967,103.967,104.634,2577.467,2587.467,3539.767,3544.9,NA,NA
54,5041.2,5052.567,104.634,105,105,106.034,2587.8,2587.967,3700.1,3700.534,NA,NA
55,5063.834,5067.767,106.034,107.334,107.334,109.067,2643.634,2643.667,3700.634,3702.467,NA,NA
56,5156.6,5159.2,109.067,109.367,109.367,109.467,2644.1,2644.667,3702.7,3716,NA,NA
57,5163.067,5198.9,109.467,110.234,110.234,110.4,2644.8,2720.167,3717.434,3717.667,NA,NA
58,5333.134,5336.434,110.4,110.567,110.567,111.234,3296.067,3296.434,3718.9,3721.6,NA,NA
59,5350.867,5375.867,111.234,111.267,111.267,111.8,3300.9,3305.867,3834.767,3835.1,NA,NA
60,5379.634,5443.467,111.8,111.967,111.967,112,3306.5,3306.6,3835.334,3880.4,NA,NA
61,5598.334,5601.567,112,114.734,114.734,114.834,3306.7,3307.634,4221.7,4243.1,NA,NA
62,6252.767,6254.1,114.834,119.834,119.834,119.9,3336,3336.9,4392.967,4393.234,NA,NA
63,6372.234,6374.934,119.9,119.934,119.934,122.967,3337.467,3338,4393.434,4421.934,NA,NA
64,6867.6,6905.834,122.967,123.3,123.3,128.034,3539.2,3539.234,4509.434,4509.634,NA,NA
65,6915.567,6921.734,128.034,128.1,128.1,129.134,3539.734,3539.767,4509.7,4509.834,NA,NA
66,6947.667,6954.867,129.134,129.667,129.667,143.4,3699.967,3700.1,4521.434,4541.7,NA,NA
67,6961.3,6961.367,143.4,143.434,143.434,144.3,3700.534,3700.634,4745.167,4764.134,NA,NA
68,6961.834,6962.267,144.3,144.367,144.367,144.4,3702.467,3702.7,4827,4827.067,NA,NA
69,6962.434,7033.8,144.4,144.434,144.434,144.534,3716,3717.434,4827.434,4828,NA,NA
70,7855.166,7860.799,144.534,144.667,144.667,144.7,3717.667,3718.9,4828.034,4833.034,NA,NA
71,8252.366,8263.833,144.7,144.967,144.967,147.467,3721.6,3729.2,4833.1,4833.167,NA,NA
72,8370.233,8382.233,147.467,147.667,147.667,147.867,3834.2,3834.767,4833.3,4833.467,NA,NA
73,8388.699,8392.933,147.867,147.9,147.9,147.967,3835.1,3835.334,4834.367,4834.434,NA,NA
74,8476.699,8501.666,147.967,148.7,148.7,151.534,3880.4,3880.767,4834.567,4834.7,NA,NA
75,8531.933,8602.733,151.534,151.834,151.834,161.434,4220.967,4221.7,4835,4835.134,NA,NA
76,8615.166,8625.033,161.434,161.467,161.467,161.534,4243.1,4243.7,4835.267,4835.834,NA,NA
77,8652.799,8718.699,161.534,161.6,161.6,161.834,4391.567,4392.967,4837.2,4838.534,NA,NA
78,8724.166,8725.766,161.834,162.1,162.1,163.167,4393.234,4393.434,4838.667,4838.7,NA,NA
79,8770.299,8783.166,163.167,164.4,164.4,164.6,4421.934,4440.034,4838.934,4839.767,NA,NA
80,8844.699,8846.866,164.6,166.9,166.9,168.1,4494.634,4509.434,4839.8,4840.334,NA,NA
81,8860.799,8894.166,168.1,169.1,169.1,171.767,4509.634,4509.7,4842.334,4842.367,NA,NA
82,8933.566,9001.866,171.767,178,178,178.134,4509.834,4521.434,4842.5,4842.567,NA,NA
83,9014.633,9028.566,178.134,178.667,178.667,179.034,4541.7,4542.567,4844.3,4845.367,NA,NA
84,9033.366,9038.666,179.034,179.4,179.4,179.634,4744.867,4745.167,4847.167,4847.434,NA,NA
85,9126.366,9130.866,179.634,180.9,180.9,182.667,4764.134,4776.367,4851.534,4851.634,NA,NA
86,9288.999,9289.899,182.667,182.7,182.7,183.2,4813.367,4827,4873.3,4873.434,NA,NA
87,9332.366,9347.466,183.2,188.7,188.7,188.767,4827.067,4827.434,4910.934,4920.367,NA,NA
88,9368.366,9371.333,188.767,188.8,188.8,192.1,4828,4828.034,4923.2,4923.667,NA,NA
89,9382.199,9386.366,192.1,226,226,226.067,4833.034,4833.1,4923.934,4925.5,NA,NA
90,9386.833,9414.866,226.067,226.134,226.134,226.6,4833.167,4833.3,4925.634,4926.534,NA,NA
91,9419.333,9420.266,226.6,226.667,226.667,226.7,4833.467,4834.367,4950.534,4950.6,NA,NA
92,9420.333,9420.699,226.7,227.167,227.167,227.267,4834.434,4834.567,4952.8,4952.9,NA,NA
93,9482.866,9490.799,227.267,228.734,228.734,228.767,4834.7,4835,4952.967,4960.034,NA,NA
94,9524.899,9525.533,228.767,228.967,228.967,229.034,4835.134,4835.267,5023.6,5023.767,NA,NA
95,9525.566,9525.666,229.034,229.2,229.2,229.234,4835.834,4837.2,5024.667,5024.7,NA,NA
96,9586.933,9592.666,229.234,229.6,229.6,229.7,4838.534,4838.667,5024.867,5025.5,NA,NA
97,9599.899,9627.633,229.7,230.334,230.334,230.8,4838.7,4838.934,5029.334,5040.9,NA,NA
98,9677.299,9679.766,230.8,231,231,232.9,4839.767,4839.8,5056.267,5056.8,NA,NA
99,9687.299,9692.333,232.9,232.967,232.967,233.167,4840.334,4842.334,5057.067,5057.234,NA,NA
100,10007.833,10010.633,233.167,233.4,233.4,233.7,4842.367,4842.5,5057.434,5057.467,NA,NA
101,10163.633,10190.899,233.7,233.867,233.867,234.234,4842.567,4844.3,5057.867,5058,NA,NA
102,10282.133,10282.999,234.234,234.267,234.267,240.634,4845.367,4847.167,5159.2,5159.234,NA,NA
103,10285.799,10289.099,240.634,289.967,289.967,293,4847.434,4851.534,5159.4,5161.367,NA,NA
104,11423.133,11425.099,293,306.3,306.3,319.467,4851.634,4873.3,5161.434,5162.2,NA,NA
105,11509.466,11510.633,319.467,398.967,429.8,429.834,4873.434,4884.934,5162.367,5163.067,NA,NA
106,11838.166,11847.166,405.734,406.234,430.167,430.2,4909.9,4910.934,5339.734,5340.367,NA,NA
107,11940.699,11941.399,428.334,429.8,430.234,441.234,4920.367,4923.2,5340.467,5343.5,NA,NA
108,12202.766,12203.766,429.834,430.167,441.567,442,4923.667,4923.934,5344.267,5344.3,NA,NA
109,12229.766,12230.899,430.2,430.234,443.267,497.7,4925.5,4925.634,5344.434,5347.034,NA,NA
110,12292.299,12294.599,441.234,441.567,541.334,617,4926.534,4950.534,5349.567,5349.7,NA,NA
111,12311.533,12331.966,442,443.267,623.134,624.967,4950.6,4952.8,5349.834,5350.367,NA,NA
112,12421.966,12423.266,497.7,541.334,717,718.2,4952.9,4952.967,5376.567,5376.667,NA,NA
113,12423.299,12423.699,617,623.134,718.4,727.6,4960.034,4960.1,5376.734,5379.1,NA,NA
114,12513.033,12517.266,624.967,717,770.634,770.667,5024,5024.667,5445.9,5445.934,NA,NA
115,12569.299,12596.566,718.2,718.4,770.7,776.2,5024.7,5024.867,5445.967,5446,NA,NA
116,12623.866,12632.533,727.6,770.634,816,816.267,5025.5,5029.334,5446.167,5446.334,NA,NA
117,12671.266,12701.166,770.667,770.7,816.3,816.334,5040.9,5041.2,5446.467,5446.6,NA,NA
118,12857.466,12858.699,776.2,816,816.434,816.667,5052.567,5056.267,5446.634,5446.667,NA,NA
119,12897.999,12907.699,816.267,816.3,816.7,818.067,5056.8,5057.067,5446.767,5446.8,NA,NA
120,12981.766,12983.766,816.334,816.434,820.767,842.4,5057.234,5057.434,5447.567,5447.9,NA,NA
121,13139.533,13148.833,816.667,816.7,858.5,861.434,5057.467,5057.867,5447.934,5448.6,NA,NA
122,13281.266,13323.966,818.067,820.767,862.367,864.9,5058,5063.834,5448.634,5458.167,NA,NA
123,13519.733,13521.999,842.4,858.5,866.134,878.434,5159.234,5159.4,5458.434,5458.5,NA,NA
124,13579.333,13601.999,861.434,862.367,879.434,879.467,5161.367,5161.434,5458.767,5458.967,NA,NA
125,13713.733,13740.766,864.9,866.134,908.1,941.134,5162.2,5162.367,5459.167,5459.3,NA,NA
126,14010.533,14022.966,878.434,879.434,957.534,957.6,5336.434,5339.734,5459.367,5459.567,NA,NA
127,14100.899,14110.466,879.467,908.1,957.634,989.9,5340.367,5340.467,5459.634,5459.667,NA,NA
128,14160.433,14165.099,941.134,957.534,989.934,992.634,5343.5,5344.267,5459.8,5460.067,NA,NA
129,14263.099,14265.199,957.6,957.634,993.167,993.3,5344.3,5344.434,5460.234,5460.434,NA,NA
130,14268.299,14277.433,989.9,989.934,998.667,999,5347.034,5349.567,5460.567,5460.834,NA,NA
131,14287.266,14306.333,992.634,993.167,999.034,999.267,5349.7,5349.834,5461.034,5462.8,NA,NA
132,14306.633,14309.566,993.3,998.667,1020.334,1020.7,5350.367,5350.867,5494.334,5494.8,NA,NA
133,14312.366,14317.099,999,999.034,1060.167,1060.267,5375.867,5376.567,5494.834,5495.434,NA,NA
134,14317.399,14321.566,999.267,1020.334,1060.4,1060.5,5376.667,5376.734,5495.567,5496.267,NA,NA
135,14322.233,14325.899,1020.7,1060.167,1061.867,1063.667,5379.1,5379.634,5499.167,5499.234,NA,NA
136,14604.399,14605.232,1060.267,1060.4,1063.734,1073.8,5443.467,5445.9,5499.267,5499.8,NA,NA
137,14668.566,14693.599,1060.5,1061.867,1084.967,1108.267,5445.934,5445.967,5502.034,5502.067,NA,NA
138,14796.299,14797.132,1063.667,1063.734,1129.6,1140.434,5446,5446.167,5502.234,5502.367,NA,NA
139,14811.666,14811.799,1073.8,1084.967,1140.834,1144.067,5446.334,5446.467,5502.634,5502.667,NA,NA
140,14812.066,14898.332,1108.267,1129.6,1307.634,1398.5,5446.6,5446.634,5503.867,5504.767,NA,NA
141,14898.666,14898.732,1140.434,1140.834,1416.2,1416.234,5446.667,5446.767,5511.767,5520.167,NA,NA
142,14898.966,14899.066,1144.067,1307.634,1416.267,1416.934,5446.8,5447.567,6255.2,6265.2,NA,NA
143,14899.132,14899.466,1398.5,1416.2,1417,1417.134,5447.9,5447.934,6265.267,6267.4,NA,NA
144,14900.399,14901.232,1416.234,1416.267,1425.067,1425.3,5448.6,5448.634,6289.134,6292.667,NA,NA
145,15599.132,15599.932,1416.934,1417,1425.367,1431.867,5458.167,5458.434,6293.667,6293.767,NA,NA
146,15667.899,15679.399,1417.134,1425.067,1433.767,1438.7,5458.5,5458.767,6294.667,6297.4,NA,NA
147,15682.432,15684.032,1425.3,1425.367,1438.8,1438.934,5458.967,5459.167,6297.834,6306.767,NA,NA
148,15686.466,15700.332,1431.867,1433.767,1439.034,1439.167,5459.3,5459.367,6905.834,6905.867,NA,NA
149,15710.866,15736.832,1438.7,1438.8,1439.267,1439.7,5459.567,5459.634,6905.934,6913.034,NA,NA
150,15900.599,15910.232,1438.934,1439.034,1439.8,1441.034,5459.667,5459.8,6913.067,6913.334,NA,NA
151,15925.932,15955.832,1439.167,1439.267,1469.467,1469.6,5460.067,5460.234,6913.367,6913.467,NA,NA
152,15963.799,15964.332,1439.7,1439.8,1470.134,1470.367,5460.434,5460.567,6913.5,6913.534,NA,NA
153,15966.232,15966.966,1441.034,1469.467,1470.4,1470.734,5460.834,5461.034,6913.834,6914.034,NA,NA
154,15992.699,15993.799,1469.6,1470.134,1472.467,1474.634,5462.8,5494.334,6914.067,6914.7,NA,NA
155,16016.499,16021.766,1470.367,1470.4,1474.667,1474.7,5494.8,5494.834,6914.9,6915.067,NA,NA
156,16022.732,16030.632,1470.734,1472.467,1483.8,1484.567,5495.434,5495.567,6915.1,6915.4,NA,NA
157,16033.299,16034.432,1474.634,1474.667,1497.134,1503.967,5496.267,5499.167,6915.534,6915.567,NA,NA
158,16133.299,16133.432,1474.7,1483.8,1730.934,1731.1,5499.234,5499.267,6954.867,6954.934,NA,NA
159,16133.466,16141.799,1484.567,1497.134,1731.134,1731.334,5499.8,5502.034,6955.034,6955.1,NA,NA
160,16148.866,16150.899,1503.967,1534.934,1732.634,1743.4,5502.067,5502.234,6955.134,6955.3,NA,NA
161,16159.532,16161.532,1730.867,1730.934,1743.634,1750.034,5502.367,5502.634,6955.334,6955.4,NA,NA
162,16164.632,16171.566,1731.1,1731.134,1868.7,1869.134,5502.667,5503.867,6960.567,6961.3,NA,NA
163,16173.066,16177.032,1731.334,1732.634,2008.2,2008.3,5504.767,5511.767,6961.367,6961.834,NA,NA
164,16178.899,16182.032,1743.4,1743.634,2022.1,2023.434,5520.167,5598.334,6962.267,6962.434,NA,NA
165,16183.932,16185.999,1750.034,1769.2,2023.534,2030.3,6254.1,6255.2,7883.199,7884.033,NA,NA
166,16196.066,16200.232,1862.934,1868.7,2215.734,2215.834,6265.2,6265.267,7884.099,7887.299,NA,NA
167,16209.399,16214.266,1869.134,1878.467,2215.867,2221.667,6267.4,6289.134,7906.433,7906.799,NA,NA
168,16217.399,16226.566,2008.134,2008.2,2226.767,2231.9,6292.667,6293.667,7907.233,7912.099,NA,NA
169,16231.732,16232.666,2008.4,2022.1,2238.734,2242.734,6293.767,6294.667,7925.266,7925.533,NA,NA
170,16238.466,16238.899,2023.434,2023.534,2364.167,2365.034,6297.4,6297.834,7948.299,7948.733,NA,NA
171,16260.866,16261.532,2030.3,2039.8,2365.067,2365.734,6306.767,6372.234,7948.866,7949.199,NA,NA
172,16262.666,16276.799,2179.267,2215.734,2373.867,2374.7,6905.867,6905.934,7949.533,7949.666,NA,NA
173,16288.732,16289.566,2215.834,2215.867,2376,2378.434,6913.034,6913.067,7950.266,7950.566,NA,NA
174,16294.332,16298.566,2221.667,2226.767,2378.534,2378.767,6913.334,6913.367,7950.899,7951.099,NA,NA
175,16300.166,16309.199,2231.9,2238.734,2482,2569.034,6913.467,6913.5,7951.399,7951.699,NA,NA
176,16310.866,16312.832,2242.734,2245.834,2729.934,2784.234,6913.534,6913.834,8179.133,8179.333,NA,NA
177,16313.799,16315.266,2303.4,2304.434,2835.7,2835.8,6914.034,6914.067,8242.799,8244.833,NA,NA
178,16330.332,16331.966,2305.034,2305.734,2905.167,2905.867,6914.7,6914.9,8244.966,8245.099,NA,NA
179,16335.299,16335.899,2363.534,2364.167,2906.067,2906.1,6915.067,6915.1,8245.233,8245.366,NA,NA
180,16336.999,16337.832,2365.034,2365.067,2906.267,3229.034,6915.4,6915.534,8382.533,8382.833,NA,NA
181,16347.999,16349.566,2365.734,2373.867,3388,3388.034,6954.934,6955.034,8402.266,8402.333,NA,NA
182,16354.632,16359.099,2374.7,2376,3388.067,3388.1,6955.1,6955.134,8402.366,8402.399,NA,NA
